   emu(eV)      n(10^20/cm3)               DOS            intDOS       tau(1E-14s)         |vk|(m/s)        sigma(S/m)       ke(Wm-1K-1)      L(1E-8V2K-2)           S(uV/K)   PF(1E-4Wm-1K-2)
  -2.35000    -1918.1521        0.52271318         14.086175         2.0013454         431336.46         2138886.4         39.687611         2.3194086        -30.124181         19.409672    
  -2.34000    -1917.1133        0.55138566         14.091544         1.9641082         426546.50         2173575.9         40.022733         2.3016642        -29.251833         18.598631    
  -2.33000    -1916.0171        0.58211809         14.097210         1.9280610         421513.50         2207600.5         40.379316         2.2863804        -28.380695         17.781424    
  -2.32000    -1914.8593        0.61505539         14.103194         1.8931473         416258.60         2240968.3         40.751057         2.2730719        -27.514296         16.964948    
  -2.31000    -1913.6355        0.65035898         14.109519         1.8593192         410800.37         2273689.3         41.132107         2.2613087        -26.654776         16.154042    
  -2.30000    -1912.3410        0.68820806         14.116209         1.8265366         405155.12         2305774.4         41.517021         2.2507092        -25.803084         15.351826    
  -2.29000    -1910.9706        0.72880082         14.123292         1.7947672         399337.36         2337234.6         41.900705         2.2409338        -24.959128         14.559991    
  -2.28000    -1909.5189        0.77235544         14.130795         1.7639858         393360.18         2368080.2         42.278374         2.2316798        -24.121885         13.779038    
  -2.27000    -1907.9798        0.81911076         14.138750         1.7341737         387235.73         2398319.3         42.645519         2.2226773        -23.289491         13.008494    
  -2.26000    -1906.3470        0.86932664         14.147189         1.7053177         380975.59         2427957.2         42.997878         2.2136859        -22.459306         12.247112    
  -2.25000    -1904.6134        0.92328380         14.156149         1.6774089         374591.21         2456995.0         43.331418         2.2044926        -21.627968         11.493061    
  -2.24000    -1902.7716        0.98128311         14.165668         1.6504420         368094.22         2485428.5         43.642321         2.1949093        -20.791438         10.744107    
  -2.23000    -1900.8134         1.0436442         14.175789         1.6244139         361496.70         2513246.7         43.926979         2.1847726        -19.945025         9.9977969    
  -2.22000    -1898.7300         1.1107034         14.186557         1.5993223         354811.44         2540430.7         44.182005         2.1739426        -19.083409         9.2516515    
  -2.21000    -1896.5121         1.1828105         14.198020         1.5751649         348052.01         2566951.6         44.404252         2.1623047        -18.200663         8.5033904    
  -2.20000    -1894.1495         1.2603247         14.210231         1.5519377         341232.80         2592768.5         44.590858         2.1497705        -17.290298         7.7511955    
  -2.19000    -1891.6313         1.3436098         14.223246         1.5296346         334368.99         2617826.8         44.739290         2.1362801        -16.345316         6.9940305    
  -2.18000    -1888.9462         1.4330277         14.237123         1.5082459         327476.41         2642055.2         44.847398         2.1218045        -15.358305         6.2320145    
  -2.17000    -1886.0818         1.5289313         14.251928         1.4877581         320571.34         2665364.7         44.913480         2.1063477        -14.321549         5.4668436    
  -2.16000    -1883.0254         1.6316566         14.267725         1.4681528         313670.27         2687645.9         44.936331         2.0899485        -13.227164         4.7022480    
  -2.15000    -1879.7633         1.7415137         14.284585         1.4494071         306789.59         2708767.4         44.915313         2.0726822        -12.067253         3.9444693    
  -2.14000    -1876.2815         1.8587775         14.302580         1.4314926         299945.24         2728575.2         44.850403         2.0546623        -10.834092         3.2027346    
  -2.13000    -1872.5655         1.9836795         14.321786         1.4143764         293152.33         2746891.0         44.742257         2.0360408        -9.5203393         2.4896958    
  -2.12000    -1868.6003         2.1163996         14.342279         1.3980206         286424.74         2763513.1         44.592245         2.0170089        -8.1192855         1.8217852    
  -2.11000    -1864.3707         2.2570603         14.364140         1.3823835         279774.75         2778217.1         44.402475         1.9977954        -6.6251243         1.2194226    
  -2.10000    -1859.8611         2.4057235         14.387447         1.3674202         273212.74         2790758.4         44.175782         1.9786638        -5.0332417        0.70699740    
  -2.09000    -1855.0562         2.5623911         14.412281         1.3530832         266746.87         2800876.7         43.915689         1.9599082        -3.3404991        0.31254799    
  -2.08000    -1849.9405         2.7270085         14.438722         1.3393244         260382.97         2808301.1         43.626317         1.9418465        -1.5454907        0.67077436E-01
  -2.07000    -1844.4986         2.8994734         14.466848         1.3260955         254124.47         2812758.3         43.312283         1.9248135        0.35124666        0.34702185E-02
