   emu(eV)      n(10^20/cm3)               DOS            intDOS            DOSvk2         |vk|(m/s)             sigma                ke      L(1E-8V2K-2)           S(uV/K)                PF  EFF(10^-20 W^5/3 m s^-1/3 K^-2)
  -2.43000    -1924.8133        0.35457195         14.051747        0.74157185E+11     457324.46        0.76627407E+20    0.15936128E+16     2.5996129        -67.426738         34.837616         2.8463630    
  -2.42000    -1924.1122        0.37039867         14.055371        0.76892324E+11     455624.20        0.79453655E+20    0.16200492E+16     2.5487330        -66.580381         35.221385         2.7951488    
  -2.41000    -1923.3791        0.38758102         14.059159        0.79673885E+11     453395.02        0.82327871E+20    0.16499418E+16     2.5051386        -65.659585         35.493037         2.7328320    
  -2.40000    -1922.6115        0.40617077         14.063127        0.82499887E+11     450684.21        0.85248010E+20    0.16829230E+16     2.4676867        -64.684654         35.668658         2.6619043    
  -2.39000    -1921.8065        0.42622893         14.067288        0.85368748E+11     447536.02        0.88212435E+20    0.17186434E+16     2.4353757        -63.671613         35.761976         2.5844671    
  -2.38000    -1920.9611        0.44782608         14.071657        0.88279216E+11     443991.39        0.91219852E+20    0.17567709E+16     2.4073308        -62.632908         35.784464         2.5022635    
  -2.37000    -1920.0725        0.47104290         14.076250        0.91230307E+11     440087.81        0.94269245E+20    0.17969904E+16     2.3827899        -61.577987         35.745469         2.4167152    
  -2.36000    -1919.1373        0.49597088         14.081083        0.94221242E+11     435859.31        0.97359810E+20    0.18390027E+16     2.3610907        -60.513778         35.652357         2.3289611    
  -2.35000    -1918.1521        0.52271318         14.086175        0.97251383E+11     431336.46        0.10049089E+21    0.18825234E+16     2.3416593        -59.445101         35.510666         2.2398966    
  -2.34000    -1917.1133        0.55138566         14.091544        0.10032016E+12     426546.50        0.10366189E+21    0.19272820E+16     2.3240002        -58.375033         35.324287         2.1502116    
  -2.33000    -1916.0171        0.58211809         14.097210        0.10342703E+12     421513.50        0.10687225E+21    0.19730205E+16     2.3076857        -57.305214         35.095646         2.0604272    
  -2.32000    -1914.8593        0.61505539         14.103194        0.10657140E+12     416258.60        0.11012136E+21    0.20194914E+16     2.2923475        -56.236111         34.825882         1.9709279    
  -2.31000    -1913.6355        0.65035898         14.109519        0.10975259E+12     410800.37        0.11340852E+21    0.20664556E+16     2.2776679        -55.167220         34.515000         1.8819896    
  -2.30000    -1912.3410        0.68820806         14.116209        0.11296982E+12     405155.12        0.11673291E+21    0.21136808E+16     2.2633729        -54.097217         34.161991         1.7938031    
  -2.29000    -1910.9706        0.72880082         14.123292        0.11622211E+12     399337.36        0.12009354E+21    0.21609396E+16     2.2492256        -53.024071         33.764923         1.7064935    
  -2.28000    -1909.5189        0.77235544         14.130795        0.11950828E+12     393360.18        0.12348918E+21    0.22080084E+16     2.2350222        -51.945115         33.321022         1.6201365    
  -2.27000    -1907.9798        0.81911076         14.138750        0.12282690E+12     387235.73        0.12691834E+21    0.22546666E+16     2.2205880        -50.857117         32.826746         1.5347731    
  -2.26000    -1906.3470        0.86932664         14.147189        0.12617616E+12     380975.59        0.13037916E+21    0.23006967E+16     2.2057749        -49.756326         32.277865         1.4504215    
  -2.25000    -1904.6134        0.92328380         14.156149        0.12955387E+12     374591.21        0.13386939E+21    0.23458836E+16     2.1904594        -48.638515         31.669551         1.3670882    
  -2.24000    -1902.7716        0.98128311         14.165668        0.13295734E+12     368094.22        0.13738623E+21    0.23900159E+16     2.1745410        -47.499015         30.996483         1.2847767    
  -2.23000    -1900.8134         1.0436442         14.175789        0.13638329E+12     361496.70        0.14092630E+21    0.24328863E+16     2.1579421        -46.332738         30.252968         1.2034954    
  -2.22000    -1898.7300         1.1107034         14.186557        0.13982774E+12     354811.44        0.14448549E+21    0.24742937E+16     2.1406074        -45.134204         29.433087         1.1232640    
  -2.21000    -1896.5121         1.1828105         14.198020        0.14328590E+12     348052.01        0.14805884E+21    0.25140459E+16     2.1225057        -43.897576         28.530897         1.0441192    
  -2.20000    -1894.1495         1.2603247         14.210231        0.14675199E+12     341232.80        0.15164039E+21    0.25519629E+16     2.1036306        -42.616715         27.540691        0.96612053    
  -2.19000    -1891.6313         1.3436098         14.223246        0.15021910E+12     334368.99        0.15522299E+21    0.25878805E+16     2.0840023        -41.285262         26.457338        0.88935565    
  -2.18000    -1888.9462         1.4330277         14.237123        0.15367903E+12     327476.41        0.15879818E+21    0.26216551E+16     2.0636691        -39.896735         25.276691        0.81394540    
  -2.17000    -1886.0818         1.5289313         14.251928        0.15712213E+12     320571.34        0.16235596E+21    0.26531670E+16     2.0427083        -38.444656         23.996075        0.74004760    
  -2.16000    -1883.0254         1.6316566         14.267725        0.16053713E+12     313670.27        0.16588472E+21    0.26823252E+16     2.0212269        -36.922686         22.614810        0.66785962    
  -2.15000    -1879.7633         1.7415137         14.284585        0.16391101E+12     306789.59        0.16937099E+21    0.27090717E+16     1.9993622        -35.324780         21.134791        0.59761956    
  -2.14000    -1876.2815         1.8587775         14.302580        0.16722891E+12     299945.24        0.17279941E+21    0.27333851E+16     1.9772818        -33.645367         19.561079        0.52960567    
  -2.13000    -1872.5655         1.9836795         14.321786        0.17047402E+12     293152.33        0.17615262E+21    0.27552848E+16     1.9551830        -31.879542         17.902482        0.46413430    
  -2.12000    -1868.6003         2.1163996         14.342279        0.17362758E+12     286424.74        0.17941122E+21    0.27748337E+16     1.9332916        -30.023291         16.172092        0.40155576    
  -2.11000    -1864.3707         2.2570603         14.364140        0.17666894E+12     279774.75        0.18255389E+21    0.27921390E+16     1.9118595        -28.073729         14.387698        0.34224777    
  -2.10000    -1859.8611         2.4057235         14.387447        0.17957572E+12     273212.74        0.18555749E+21    0.28073519E+16     1.8911604        -26.029331         12.572004        0.28660613    
  -2.09000    -1855.0562         2.5623911         14.412281        0.18232410E+12     266746.87        0.18839743E+21    0.28206640E+16     1.8714851        -23.890150         10.752582        0.23503213    
  -2.08000    -1849.9405         2.7270085         14.438722        0.18488925E+12     260382.97        0.19104803E+21    0.28323024E+16     1.8531351        -21.657993         8.9614645        0.18791701    
  -2.07000    -1844.4986         2.8994734         14.466848        0.18724580E+12     254124.47        0.19348308E+21    0.28425228E+16     1.8364156        -19.336545         7.2343706        0.14562394    
  -2.06000    -1838.7155         3.0796470         14.496737        0.18936854E+12     247972.46        0.19567653E+21    0.28516002E+16     1.8216289        -16.931430         5.6095240        0.10846846    
  -2.05000    -1832.5766         3.2673687         14.528466        0.19123309E+12     241925.95        0.19760318E+21    0.28598204E+16     1.8090678        -14.450204         4.1261206        0.76698684E-01
  -2.04000    -1826.0672         3.4624708         14.562109        0.19281668E+12     235982.20        0.19923953E+21    0.28674701E+16     1.7990093        -11.902284         2.8225139        0.50476602E-01
  -2.03000    -1819.1733         3.6647930         14.597739        0.19409893E+12     230137.21        0.20056448E+21    0.28748280E+16     1.7917105        -9.2988072         1.7342373        0.29862098E-01
  -2.02000    -1811.8812         3.8741919         14.635428        0.19506254E+12     224386.32        0.20156019E+21    0.28821567E+16     1.7874045        -6.6524500        0.89200646        0.14801032E-01
  -2.01000    -1804.1771         4.0905457         14.675246        0.19569395E+12     218724.82        0.20221264E+21    0.28896975E+16     1.7862988        -3.9771992        0.31986225        0.51186282E-02
  -2.00000    -1796.0478         4.3137492         14.717262        0.19598386E+12     213148.71        0.20251221E+21    0.28976655E+16     1.7885746        -1.2881111        0.33601438E-01    0.51899841E-03
  -1.99000    -1787.4800         4.5436994         14.761544        0.19592757E+12     207655.28        0.20245404E+21    0.29062487E+16     1.7943879         1.3989304        0.39620384E-01    0.59114003E-03
  -1.98000    -1778.4610         4.7802707         14.808158        0.19552518E+12     202243.75        0.20203824E+21    0.29156078E+16     1.8038713         4.0674355        0.33425271        0.48211580E-02
  -1.97000    -1768.9779         5.0232783         14.857171        0.19478158E+12     196915.69        0.20126988E+21    0.29258784E+16     1.8171363         6.7004979        0.90363477        0.12609935E-01
  -1.96000    -1759.0187         5.2724351         14.908644        0.19370638E+12     191675.38        0.20015886E+21    0.29371732E+16     1.8342763         9.2809449         1.7240871        0.23295023E-01
  -1.95000    -1748.5717         5.5273012         14.962638        0.19231360E+12     186529.89        0.19871968E+21    0.29495855E+16     1.8553683         11.791449         2.7629639        0.36175223E-01
