   emu(eV)      n(10^20/cm3)               DOS            intDOS            DOSvk2         |vk|(m/s)             sigma                ke      L(1E-8V2K-2)           S(uV/K)                PF  EFF(10^-20 W^5/3 m s^-1/3 K^-2)
  -2.25000    -1906.0887        0.88280505         14.148524        0.12749168E+12     380021.80        0.13173851E+21    0.23165812E+16     2.1980866        -50.279326         33.303635         1.4812438    
  -2.24000    -1904.3281        0.93773761         14.157623        0.13094556E+12     373684.19        0.13530744E+21    0.23622691E+16     2.1823164        -49.125296         32.653673         1.3950483    
  -2.23000    -1902.4573        0.99678666         14.167292        0.13442529E+12     367231.04        0.13890308E+21    0.24068769E+16     2.1659678        -47.948790         31.935019         1.3099171    
  -2.22000    -1900.4680         1.0602735         14.177574        0.13792733E+12     360675.15        0.14252178E+21    0.24501913E+16     2.1489622        -46.744606         31.141837         1.2258681    
  -2.21000    -1898.3514         1.1285347         14.188514        0.14144740E+12     354029.97        0.14615910E+21    0.24920071E+16     2.1312452        -45.507152         30.268101         1.1429310    
  -2.20000    -1896.0977         1.2019189         14.200161        0.14498034E+12     347309.76        0.14980972E+21    0.25321292E+16     2.1127877        -44.230492         29.307822         1.0611535    
  -2.19000    -1893.6968         1.2807821         14.212570        0.14851995E+12     340529.52        0.15346724E+21    0.25703763E+16     2.0935871        -42.908414         28.255345        0.98060750    
  -2.18000    -1891.1377         1.3654827         14.225797        0.15205884E+12     333705.02        0.15712402E+21    0.26065849E+16     2.0736684        -41.534509         27.105708        0.90139411    
  -2.17000    -1888.4089         1.4563745         14.239901        0.15558827E+12     326852.56        0.16077101E+21    0.26406129E+16     2.0530854        -40.102286         25.855087        0.82364877    
  -2.16000    -1885.4979         1.5537995         14.254946        0.15909795E+12     319988.82        0.16439761E+21    0.26723445E+16     2.0319217        -38.605292         24.501303        0.74754490    
  -2.15000    -1882.3918         1.6580796         14.270999        0.16257595E+12     313130.57        0.16799145E+21    0.27016940E+16     2.0102912        -37.037267         23.044382        0.67329633    
  -2.14000    -1879.0771         1.7695074         14.288131        0.16600850E+12     306294.34        0.17153835E+21    0.27286102E+16     1.9883384        -35.392301         21.487149        0.60115802    
  -2.13000    -1875.5396         1.8883376         14.306414        0.16937994E+12     299496.10        0.17502209E+21    0.27530803E+16     1.9662377        -33.665016         19.835837        0.53142526    
  -2.12000    -1871.7650         2.0147782         14.325923        0.17267264E+12     292750.84        0.17842448E+21    0.27751332E+16     1.9441931        -31.850775         18.100662        0.46443085    
  -2.11000    -1867.7381         2.1489835         14.346736        0.17586701E+12     286072.19        0.18172525E+21    0.27948415E+16     1.9224362        -29.945903         16.296341        0.40054022    
  -2.10000    -1863.4441         2.2910492         14.368929        0.17894157E+12     279472.07        0.18490222E+21    0.28123228E+16     1.9012229        -27.947917         14.442455        0.34014402    
  -2.09000    -1858.8675         2.4410101         14.392583        0.18187319E+12     272960.34        0.18793150E+21    0.28277373E+16     1.8808298        -25.855759         12.563602        0.28364766    
  -2.08000    -1853.9931         2.5988422         14.417776        0.18463739E+12     266544.59        0.19078777E+21    0.28412847E+16     1.8615479        -23.669995         10.689241        0.23145773    
  -2.07000    -1848.8059         2.7644682         14.444586        0.18720878E+12     260229.97        0.19344482E+21    0.28531980E+16     1.8436769        -21.392976         8.8531846        0.18396557    
  -2.06000    -1843.2907         2.9377676         14.473091        0.18956167E+12     254019.20        0.19587609E+21    0.28637361E+16     1.8275177        -19.028941         7.0926850        0.14152847    
  -2.05000    -1837.4329         3.1185902         14.503366        0.19167067E+12     247912.65        0.19805534E+21    0.28731743E+16     1.8133658        -16.584055         5.4471333        0.10444971    
  -2.04000    -1831.2181         3.3067711         14.535487        0.19351150E+12     241908.61        0.19995749E+21    0.28817953E+16     1.8015050        -14.066373         3.9564157        0.72958727E-01
  -2.03000    -1824.6322         3.5021477         14.569526        0.19506172E+12     236003.69        0.20155934E+21    0.28898796E+16     1.7922015        -11.485746         2.6590182        0.47192876E-01
  -2.02000    -1817.6614         3.7045729         14.605553        0.19630149E+12     230193.32        0.20284042E+21    0.28976968E+16     1.7856998        -8.8536606         1.5900114        0.27182302E-01
  -2.01000    -1810.2923         3.9139258         14.643640        0.19721432E+12     224472.39        0.20378365E+21    0.29054983E+16     1.7822199        -6.1830364        0.77906366        0.12839338E-01
  -2.00000    -1802.5115         4.1301136         14.683855        0.19778762E+12     218835.89        0.20437605E+21    0.29135122E+16     1.7819555        -3.4879869        0.24864498        0.39535125E-02
  -1.99000    -1794.3058         4.3530657         14.726265        0.19801319E+12     213279.66        0.20460913E+21    0.29219404E+16     1.7850745       -0.78357375        0.12562751E-01    0.19287060E-03
  -1.98000    -1785.6623         4.5827163         14.770938        0.19788753E+12     207801.05        0.20447929E+21    0.29309576E+16     1.7917203         1.9144338        0.74942816E-01    0.11117986E-02
  -1.97000    -1776.5681         4.8189761         14.817941        0.19741196E+12     202399.46        0.20398787E+21    0.29407125E+16     1.8020143         4.5897731        0.42972121        0.61649330E-02
  -1.96000    -1767.0104         5.0616935         14.867339        0.19659259E+12     197076.86        0.20314121E+21    0.29513307E+16     1.8160586         7.2258657         1.0606639        0.14726244E-01
  -1.95000    -1756.9771         5.3106074         14.919196        0.19544013E+12     191838.06        0.20195037E+21    0.29629181E+16     1.8339396         9.8059506         1.9418874        0.26111952E-01
  -1.94000    -1746.4565         5.5652938         14.973571        0.19396963E+12     186690.76        0.20043088E+21    0.29755643E+16     1.8557297         12.313177         3.0388192        0.39605687E-01
  -1.93000    -1735.4380         5.8251132         15.030519        0.19220000E+12     181645.44        0.19860230E+21    0.29893459E+16     1.8814900         14.730661         4.3095182        0.54484198E-01
  -1.92000    -1723.9126         6.0891608         15.090087        0.19015360E+12     176715.06        0.19648774E+21    0.30043292E+16     1.9112702         17.041520         5.7062675        0.70042008E-01
  -1.91000    -1711.8731         6.3562273         15.152312        0.18785571E+12     171914.49        0.19411330E+21    0.30205719E+16     1.9451088         19.228897         7.1773490        0.85613557E-01
  -1.90000    -1699.3152         6.6247766         15.217217        0.18533396E+12     167259.92        0.19150755E+21    0.30381238E+16     1.9830314         21.275975         8.6689173        0.10059169    
  -1.89000    -1686.2378         6.8929432         15.284807        0.18261778E+12     162768.06        0.18870089E+21    0.30570276E+16     2.0250485         23.166002         10.126891        0.11444173    
  -1.88000    -1672.6436         7.1585560         15.355067        0.17973785E+12     158455.41        0.18572503E+21    0.30773187E+16     2.0711523         24.882313         11.498784        0.12671063    
  -1.87000    -1658.5399         7.4191877         15.427961        0.17672558E+12     154337.52        0.18261241E+21    0.30990250E+16     2.1213132         26.408350         12.735407        0.13703137    
  -1.86000    -1643.9388         7.6722315         15.503426        0.17361256E+12     150428.36        0.17939571E+21    0.31221662E+16     2.1754745         27.727677         13.792374        0.14512291    
  -1.85000    -1628.8577         7.9149997         15.581371        0.17043023E+12     146739.78        0.17610737E+21    0.31467525E+16     2.2335468         28.823971         14.631375        0.15078656    
  -1.84000    -1613.3189         8.1448392         15.661682        0.16720945E+12     143281.18        0.17277930E+21    0.31727804E+16     2.2953997         29.681003         15.221198        0.15389999    
  -1.83000    -1597.3499         8.3592550         15.744217        0.16398028E+12     140059.33        0.16944257E+21    0.32002274E+16     2.3608496         30.282618         15.538510        0.15441011    
  -1.82000    -1580.9829         8.5560329         15.828809        0.16077191E+12     137078.35        0.16612733E+21    0.32290422E+16     2.4296441         30.612748         15.568462        0.15232651    
  -1.81000    -1564.2536         8.7333505         15.915273        0.15761256E+12     134339.88        0.16286273E+21    0.32591311E+16     2.5014402         30.655507         15.305190        0.14771668    
  -1.80000    -1547.2013         8.8898681         16.003406        0.15452960E+12     131843.33        0.15967708E+21    0.32903404E+16     2.5757770         30.395434         14.752285        0.14070423    
  -1.79000    -1529.8669         9.0247923         16.092998        0.15154966E+12     129586.24        0.15659787E+21    0.33224365E+16     2.6520447         29.817972         13.923296        0.13147061    
  -1.78000    -1512.2926         9.1379059         16.183829        0.14869878E+12     127564.66        0.15365203E+21    0.33550852E+16     2.7294507         28.910210         12.842241        0.12025997    
  -1.77000    -1494.5202         9.2295633         16.275684        0.14600251E+12     125773.63        0.15086594E+21    0.33878339E+16     2.8069904         27.661962         11.544023        0.10738604    
  -1.76000    -1476.5907         9.3006512         16.368352        0.14348588E+12     124207.53        0.14826549E+21    0.34201005E+16     2.8834260         26.067125         10.074566        0.93238554E-01
  -1.75000    -1458.5424         9.3525191         16.461633        0.14117336E+12     122860.44        0.14587594E+21    0.34511718E+16     2.9572833         24.125262         8.4903917        0.78286476E-01
  -1.74000    -1440.4110         9.3868854         16.555344        0.13908857E+12     121726.45        0.14372170E+21    0.34802159E+16     3.0268706         21.843251         6.8573591        0.63074522E-01
  -1.73000    -1422.2284         9.4057273         16.649319        0.13725395E+12     120799.81        0.14182597E+21    0.35063079E+16     3.0903262         19.236818         5.2483429        0.48210174E-01
  -1.72000    -1404.0227         9.4111654         16.743414        0.13569032E+12     120075.04        0.14021025E+21    0.35284700E+16     3.1456956         16.331725         3.7397610        0.34339423E-01
  -1.71000    -1385.8177         9.4053503         16.837505        0.13441639E+12     119546.99        0.13889389E+21    0.35457209E+16     3.1910340         13.164423         2.4070592        0.22111331E-01
  -1.70000    -1367.6332         9.3903619         16.931490        0.13344833E+12     119210.74        0.13789357E+21    0.35571321E+16     3.2245267         9.7820115         1.3194726        0.12133615E-01
  -1.69000    -1349.4850         9.3681258         17.025288        0.13279925E+12     119061.53        0.13722288E+21    0.35618836E+16     3.2446153         6.2414450        0.53456045        0.49234904E-02
  -1.68000    -1331.3854         9.3403515         17.118835        0.13247895E+12     119094.54        0.13689191E+21    0.35593150E+16     3.2501145         2.6080165        0.93110458E-01    0.85927941E-03
  -1.67000    -1313.3437         9.3084940         17.212082        0.13249352E+12     119304.72        0.13690696E+21    0.35489657E+16     3.2403079        -1.0467526        0.15000772E-01    0.13875184E-03
  -1.66000    -1295.3666         9.2737367         17.304995        0.13284512E+12     119686.57        0.13727028E+21    0.35306033E+16     3.2150107        -4.6476337        0.29651065        0.27494672E-02
  -1.65000    -1277.4589         9.2369928         17.397550        0.13353175E+12     120233.91        0.13797977E+21    0.35042388E+16     3.1745946        -8.1184064        0.90940431        0.84550210E-02
  -1.64000    -1259.6236         9.1989218         17.489730        0.13454692E+12     120939.57        0.13902876E+21    0.34701294E+16     3.1199743        -11.384572         1.8019306        0.16799313E-01
  -1.63000    -1241.8628         9.1599566         17.581525        0.13587937E+12     121795.17        0.14040560E+21    0.34287717E+16     3.0525596        -14.375909         2.9017168        0.27129232E-01
  -1.62000    -1224.1781         9.1203367         17.672927        0.13751262E+12     122790.80        0.14209325E+21    0.33808875E+16     2.9741803        -17.028770         4.1204058        0.38634696E-01
  -1.61000    -1206.5707         9.0801459         17.763930        0.13942451E+12     123914.79        0.14406882E+21    0.33274040E+16     2.8869917        -19.288069         5.3597870        0.50403852E-01
  -1.60000    -1189.0415         9.0393505         17.854528        0.14158670E+12     125153.39        0.14630304E+21    0.32694284E+16     2.7933702        -21.108941         6.5190787        0.61490236E-01
  -1.59000    -1171.5920         8.9978372         17.944715        0.14396429E+12     126490.62        0.14875983E+21    0.32082195E+16     2.6958046        -22.458051         7.5029112        0.70987597E-01
  -1.58000    -1154.2236         8.9554494         18.034482        0.14651555E+12     127908.13        0.15139607E+21    0.31451516E+16     2.5967910        -23.314572         8.2294252        0.78106887E-01
  -1.57000    -1136.9382         8.9120217         18.123820        0.14919201E+12     129385.22        0.15416169E+21    0.30816744E+16     2.4987356        -23.670766         8.6377590        0.82248568E-01
  -1.56000    -1119.7380         8.8674109         18.212718        0.15193902E+12     130898.98        0.15700020E+21    0.30192653E+16     2.4038705        -23.532168         8.6940891        0.83062363E-01
  -1.55000    -1102.6253         8.8215251         18.301164        0.15469683E+12     132424.66        0.15984988E+21    0.29593763E+16     2.3141840        -22.917317         8.3953699        0.80486333E-01
  -1.54000    -1085.6026         8.7743485         18.389145        0.15740232E+12     133936.25        0.16264549E+21    0.29033767E+16     2.2313689        -21.857021         7.7700522        0.74758189E-01
  -1.53000    -1068.6724         8.7259608         18.476647        0.15999135E+12     135407.16        0.16532076E+21    0.28524951E+16     2.1567883        -20.393145         6.8753660        0.66394444E-01
  -1.52000    -1051.8368         8.6765516         18.563660        0.16240162E+12     136811.18        0.16781132E+21    0.28077630E+16     2.0914583        -18.576962         5.7912275        0.56137182E-01
  -1.51000    -1035.0976         8.6264239         18.650176        0.16457575E+12     138123.48        0.17005787E+21    0.27699641E+16     2.0360452        -16.467108         4.6113852        0.44873398E-01
  -1.50000    -1018.4558         8.5759872         18.736188        0.16646445E+12     139321.67        0.17200948E+21    0.27395944E+16     1.9908746        -14.127243         3.4329478        0.33536871E-01
  -1.49000    -1001.9114         8.5257356         18.821696        0.16802923E+12     140386.87        0.17362639E+21    0.27168347E+16     1.9559489        -11.623503         2.3457936        0.23006293E-01
  -1.48000    -985.46368         8.4762117         18.906705        0.16924451E+12     141304.63        0.17488215E+21    0.27015384E+16     1.9309706        -9.0218660         1.4234369        0.14014635E-01
  -1.47000    -969.11062         8.4279549         18.991225        0.17009874E+12     142065.77        0.17576483E+21    0.26932377E+16     1.9153701        -6.3855379        0.71668277        0.70831033E-02
  -1.46000    -952.84931         8.3814394         19.075270        0.17059439E+12     142666.85        0.17627699E+21    0.26911665E+16     1.9083365        -3.7724854        0.25087117        0.24885695E-02
  -1.45000    -936.67603         8.3370059         19.158860        0.17074686E+12     143110.44        0.17643454E+21    0.26943017E+16     1.9088536        -1.2332262        0.26832991E-01    0.26712043E-03
  -1.44000    -920.58657         8.2947953         19.242017        0.17058243E+12     143405.01        0.17626463E+21    0.27014196E+16     1.9157414         1.1910044        0.25002989E-01    0.24974659E-03
  -1.43000    -904.57670         8.2546922         19.324763        0.17013540E+12     143564.45        0.17580272E+21    0.27111655E+16     1.9277044         3.4696026        0.21163381        0.21207813E-02
  -1.42000    -888.64269         8.2162845         19.407117        0.16944493E+12     143607.31        0.17508925E+21    0.27221314E+16     1.9433885         5.5833652        0.54582265        0.54867182E-02
  -1.41000    -872.78192         8.1788468         19.489092        0.16855172E+12     143555.74        0.17416628E+21    0.27329383E+16     1.9614433         7.5246117        0.98612565        0.99429585E-02
  -1.40000    -856.99345         8.1413483         19.570694        0.16749497E+12     143434.20        0.17307433E+21    0.27423145E+16     1.9805902         9.2966285         1.4958347        0.15128556E-01
  -1.39000    -841.27862         8.1024868         19.651915        0.16630988E+12     143268.22        0.17184976E+21    0.27491673E+16     1.9996880         10.912459         2.0464173        0.20763157E-01
  -1.38000    -825.64151         8.0607449         19.732734        0.16502566E+12     143083.04        0.17052277E+21    0.27526392E+16     2.0177945         12.393117         2.6190482        0.26664787E-01
  -1.37000    -810.08927         8.0144641         19.813114        0.16366443E+12     142902.53        0.16911620E+21    0.27521479E+16     2.0342137         13.765351         3.2044966        0.32750774E-01
  -1.36000    -794.63236         7.9619301         19.893002        0.16224067E+12     142748.22        0.16764501E+21    0.27474039E+16     2.0485279         15.059137         3.8018135        0.39026235E-01
  -1.35000    -779.28450         7.9014632         19.972327        0.16076145E+12     142638.64        0.16611652E+21    0.27384086E+16     2.0606083         16.305081         4.4163016        0.45565044E-01
  -1.34000    -764.06258         7.8315083         20.051000        0.15922719E+12     142588.96        0.16453114E+21    0.27254320E+16     2.0706050         17.531932         5.0571715        0.52487452E-01
