   emu(eV)      n(10^20/cm3)               DOS            intDOS       tau(1E-14s)         |vk|(m/s)        sigma(S/m)       ke(Wm-1K-1)      L(1E-8V2K-2)           S(uV/K)   PF(1E-4Wm-1K-2)
  -1.52000    -1051.8368         8.6765516         18.563660         1.0002125         136811.18         1673016.0         30.038303         2.2443228        -16.389224         4.4938322    
  -1.51000    -1035.0976         8.6264239         18.650176        0.99928339         138123.48         1693988.4         29.559467         2.1812035        -14.767311         3.6941392    
  -1.50000    -1018.4558         8.5759872         18.736188        0.99856419         139321.67         1712403.2         29.166698         2.1290764        -12.887548         2.8441117    
  -1.49000    -1001.9114         8.5257356         18.821696        0.99805296         140386.87         1727863.3         28.862068         2.0879884        -10.819777         2.0227677    
  -1.48000    -985.46368         8.4762117         18.906705        0.99774723         141304.63         1740103.0         28.644110         2.0576448        -8.6338033         1.2971173    
  -1.47000    -969.11062         8.4279549         18.991225        0.99764396         142065.77         1748999.3         28.507903         2.0374438        -6.3965599        0.71562019    
  -1.46000    -952.84931         8.3814394         19.075270        0.99773950         142666.85         1754572.0         28.445348         2.0265161        -4.1694518        0.30502056    
  -1.45000    -936.67603         8.3370059         19.158860        0.99802946         143110.44         1756971.8         28.445618         2.0237674        -2.0059984        0.70701064E-01
  -1.44000    -920.58657         8.2947953         19.242017        0.99850875         143405.01         1756459.4         28.495784         2.0279279        0.50099591E-01    0.44086586E-04
  -1.43000    -904.57670         8.2546922         19.324763        0.99917156         143564.45         1753376.6         28.581551         2.0376079         1.9663583        0.67795444E-01
  -1.42000    -888.64269         8.2162845         19.407117         1.0000116         143607.31         1748113.5         28.688102         2.0513615         3.7222773        0.24220722    
  -1.41000    -872.78192         8.1788468         19.489092         1.0010221         143555.74         1741075.3         28.800956         2.0677563         5.3094061        0.49080554    
  -1.40000    -856.99345         8.1413483         19.570694         1.0021963         143434.20         1732651.0         28.906811         2.0854468         6.7306867        0.78492801    
  -1.39000    -841.27862         8.1024868         19.651915         1.0035279         143268.22         1723187.2         28.994281         2.1032451         7.9991018         1.1025922    
  -1.38000    -825.64151         8.0607449         19.732734         1.0050109         143083.04         1712969.3         29.054490         2.1201847         9.1357221         1.4296685    
  -1.37000    -810.08927         8.0144641         19.813114         1.0066406         142902.53         1702208.6         29.081473         2.1355691         10.167296         1.7596395    
  -1.36000    -794.63236         7.9619301         19.893002         1.0084136         142748.22         1691038.2         29.072350         2.1490016         11.123573         2.0923872    
  -1.35000    -779.28450         7.9014632         19.972327         1.0103284         142638.64         1679514.3         29.027280         2.1603924         12.034574         2.4324568    
  -1.34000    -764.06258         7.8315083         20.051000         1.0123852         142588.96         1667625.0         28.949208         2.1699429         12.927997         2.7871534    
  -1.33000    -748.98629         7.7507180         20.128921         1.0145868         142610.78         1655302.1         28.843434         2.1781095         13.826962         3.1646872    
  -1.32000    -734.07769         7.6580267         20.205975         1.0169386         142712.24         1642437.5         28.717053         2.1855514         14.748206         3.5724589    
  -1.31000    -719.36055         7.5527114         20.282039         1.0194486         142898.26         1628901.3         28.578320         2.1930672         15.700833         4.0155048    
  -1.30000    -704.85970         7.4344377         20.356986         1.0221280         143170.80         1614560.6         28.435971         2.2015256         16.685654         4.4951149    
  -1.29000    -690.60019         7.3032892         20.430685         1.0249910         143529.33         1599297.7         28.298571         2.2117967         17.695125         5.0076805    
  -1.28000    -676.60650         7.1597789         20.503010         1.0280552         143971.13         1583027.0         28.173899         2.2246856         18.713854         5.5438923    
  -1.27000    -662.90172         7.0048404         20.573842         1.0313415         144491.73         1565708.0         28.068431         2.2408738         19.719615         6.0884620    
  -1.26000    -649.50674         6.8398005         20.643073         1.0348740         145085.12         1547354.7         27.986925         2.2608686         20.684816         6.6205366    
  -1.25000    -636.43953         6.6663311         20.710610         1.0386797         145744.08         1528040.3         27.932142         2.2849645         21.578309         7.1149132    
  -1.24000    -623.71455         6.4863835         20.776378         1.0427885         146460.31         1507896.2         27.904718         2.3132160         22.367430         7.5440340    
  -1.23000    -611.34228         6.3021094         20.840323         1.0472319         147224.56         1487106.8         27.903177         2.3454247         23.020149         7.8805847    
  -1.22000    -599.32892         6.1157713         20.902414         1.0520430         148026.74         1465899.2         27.924105         2.3811414         23.507167         8.1003670    
  -1.21000    -587.67624         5.9296517         20.962640         1.0572551         148855.97         1444530.1         27.962438         2.4196829         23.803825         8.1850269    
  -1.20000    -576.38166         5.7459657         21.021015         1.0629006         149700.63         1423272.1         28.011867         2.4601644         23.891675         8.1242097    
  -1.19000    -565.43845         5.5667839         21.077574         1.0690104         150548.46         1402398.0         28.065292         2.5015449         23.759609         7.9168034    
  -1.18000    -554.83604         5.3939713         21.132372         1.0756121         151386.65         1382167.9         28.115313         2.5426826         23.404474         7.5710928    
  -1.17000    -544.56050         5.2291442         21.185480         1.0827296         152202.03         1362818.0         28.154689         2.5823963         22.831144         7.1038408    
  -1.16000    -534.59505         5.0736465         21.236986         1.0903814         152981.17         1344552.2         28.176742         2.6195284         22.052097         6.5384902    
  -1.15000    -524.92055         4.9285440         21.286988         1.0985804         153710.65         1327537.1         28.175676         2.6530027         21.086565         5.9028034    
  -1.14000    -515.51608         4.7946328         21.335594         1.1073331         154377.30         1311899.4         28.146789         2.6818739         19.959375         5.2263009    
  -1.13000    -506.35942         4.6724605         21.382919         1.1166390         154968.44         1297726.5         28.086591         2.7053649         18.699625         4.5378377    
  -1.12000    -497.42751         4.5623530         21.429083         1.1264906         155472.12         1285068.4         27.992813         2.7228913         17.339292         3.8635717    
  -1.11000    -488.69684         4.4644443         21.474207         1.1368734         155877.43         1273940.7         27.864351         2.7340707         15.911917         3.2254791    
  -1.10000    -480.14381         4.3787072         21.518413         1.1477661         156174.73         1264328.4         27.701153         2.7387222         14.451413         2.6404654    
  -1.09000    -471.74502         4.3049794         21.561821         1.1591409         156355.84         1256189.9         27.504071         2.7368545         12.991053         2.1200396    
  -1.08000    -463.47748         4.2429860         21.604551         1.1709641         156414.34         1249460.6         27.274710         2.7286485         11.562654         1.6704660    
  -1.07000    -455.31882         4.1923572         21.646719         1.1831973         156345.68         1244056.0         27.015271         2.7144348         10.195937         1.2932849    
  -1.06000    -447.24748         4.1526399         21.688435         1.1957980         156147.36         1239874.5         26.728420         2.6946700         8.9180333        0.98608853    
  -1.05000    -439.24285         4.1233062         21.729806         1.2087211         155818.99         1236799.5         26.417160         2.6699114         7.7531234        0.74345157    
  -1.04000    -431.28541         4.1037585         21.770934         1.2219207         155362.29         1234701.6         26.084726         2.6407926         6.7221610        0.55793013    
  -1.03000    -423.35685         4.0933330         21.811912         1.2353513         154781.05         1233440.1         25.734490         2.6079995         5.8426793        0.42105824    
  -1.02000    -415.44022         4.0913038         21.852828         1.2489695         154080.93         1232865.4         25.369872         2.5722467         5.1286625        0.32428280    
  -1.01000    -407.52003         4.0968877         21.893763         1.2627357         153269.22         1232820.4         24.994257         2.5342557         4.5904901        0.25978730    
  -1.00000    -399.58233         4.1092518         21.934789         1.2766154         152354.53         1233143.1         24.610902         2.4947330         4.2349609        0.22116291    
  -0.99000    -391.61485         4.1275236         21.975968         1.2905799         151346.41         1233669.3         24.222860         2.4543510         4.0654119        0.20389560    
  -0.98000    -383.60702         4.1508032         22.017356         1.3046067         150254.98         1234235.1         23.832889         2.4137306         4.0819401        0.20565116    
  -0.97000    -375.55005         4.1781778         22.058998         1.3186798         149090.56         1234680.4         23.443384         2.3734264         4.2817343        0.22635702    
  -0.96000    -367.43688         4.2087356         22.100930         1.3327888         147863.32         1234851.0         23.056314         2.3339167         4.6595062        0.26809847    
  -0.95000    -359.26223         4.2415791         22.143180         1.3469281         146583.07         1234601.8         22.673189         2.2955974         5.2080041        0.33486483    
  -0.94000    -351.02254         4.2758351         22.185766         1.3610956         145259.08         1233798.6         22.295043         2.2587806         5.9185747        0.43219382    
  -0.93000    -342.71588         4.3106602         22.228699         1.3752917         143900.02         1232319.7         21.922459         2.2236985         6.7817343        0.56676750    
  -0.92000    -334.34195         4.3452413         22.271979         1.3895175         142513.98         1230056.0         21.555617         2.1905116         7.7877048        0.74600865    
  -0.91000    -325.90198         4.3787908         22.315600         1.4037743         141108.56         1226911.6         21.194366         2.1593208         8.9268707        0.97771383    
